Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","BrainstormAI-ApiStack/Notebooks/ServiceRole/Resource","Suppressed","AWSLambdaBasicExecutionRole and AmazonAPIGatewayPushToCloudWatchLogs are standard managed policies for Lambda execution and API Gateway logging. Custom policies would provide no additional security benefit for this sample.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Notebooks/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","BrainstormAI-ApiStack/Notebooks/Resource","Suppressed","All Lambda functions use Python 3.12 which is the latest stable Python runtime available in Lambda.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","BrainstormAI-ApiStack/Sources/ServiceRole/Resource","Suppressed","AWSLambdaBasicExecutionRole and AmazonAPIGatewayPushToCloudWatchLogs are standard managed policies for Lambda execution and API Gateway logging. Custom policies would provide no additional security benefit for this sample.","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","BrainstormAI-ApiStack/Sources/ServiceRole/DefaultPolicy/Resource","Suppressed","Wildcard resources required: Bedrock/Polly do not support resource-level restrictions; execute-api:ManageConnections is scoped to the specific API; S3/DynamoDB wildcards are CDK-generated grant patterns scoped to named resources.","Error","The IAM entity contains wildcard permissions and does not have a cdk-nag rule suppression with evidence for those permission."
"AwsSolutions-L1","BrainstormAI-ApiStack/Sources/Resource","Suppressed","All Lambda functions use Python 3.12 which is the latest stable Python runtime available in Lambda.","Error","The non-container Lambda function is not configured to use the latest runtime version."
"AwsSolutions-IAM4","BrainstormAI-ApiStack/Jobs/ServiceRole/Resource","Suppressed","AWSLambdaBasicExecutionRole and AmazonAPIGatewayPushToCloudWatchLogs are standard managed policies for Lambda execution and API Gateway logging. Custom policies would provide no additional security benefit for this sample.","Error","The IAM user, role, or group uses AWS managed policies."
